date,RSV Detections,RSV Tests,Surveillance Year,Week ending Code ,temp_c,vapor_pressure_hpa
2015-01-24,2973,17706,1415,1503,3.0246565477509417,5.305874595732255
2015-01-31,3253,17620,1415,1504,1.5941262645806844,4.697972872540745
2015-02-07,3170,17034,1415,1505,1.2964404432132963,4.357055749295172
2015-02-14,3000,16173,1415,1506,0.6278616039352235,4.036272017994367
2015-02-21,2569,15020,1415,1507,-2.313264460527043,3.2857769073277137
2015-02-28,2414,13936,1415,1508,-2.447617069590984,3.3462072158249203
2015-03-07,1863,12654,1415,1509,2.0616217570426456,4.605838248952551
2015-03-14,1704,12945,1415,1510,9.575207591933571,7.531338824750879
2015-03-21,1362,12066,1415,1511,8.88651766004415,6.817810286112115
2015-03-28,1012,11484,1415,1512,7.77978993218283,6.322569877674845
2015-04-04,790,11229,1415,1513,11.373443971944551,7.249582962486497
2015-04-11,609,10858,1415,1514,12.553375965451371,9.272743954485248
2015-04-18,446,10068,1415,1515,14.45149723756906,9.825635169358184
2015-04-25,322,9417,1415,1516,12.17768318637884,8.377075799749974
2015-05-02,286,8551,1415,1517,15.000790720740577,9.377813303113912
2015-05-09,224,8090,1415,1518,17.787608021271883,13.078456002267556
2015-05-16,138,7621,1415,1519,17.286305274226574,13.17442446843793
2015-05-23,117,7029,1415,1520,16.51587126029973,12.121566463529218
2015-05-30,68,6381,1415,1521,20.36196392339976,16.364738768464658
2015-06-06,64,5845,1415,1522,19.790175302341066,15.440232180506587
2015-06-13,59,5624,1415,1523,23.12808914019624,18.379786447014467
2015-06-20,46,5267,1415,1524,23.521705856255547,19.043850561556265
2015-06-27,54,4853,1415,1525,24.01458321809835,18.809352015728344
2015-07-04,58,4795,1516,1526,23.522331677704194,19.31792617664688
2015-07-11,53,5006,1516,1527,23.611296909492275,19.901996788410766
2015-07-18,53,4554,1516,1528,24.655938760846738,20.5228131760902
2015-07-25,51,4768,1516,1529,24.63598654090132,19.79669193401012
2015-08-01,63,4615,1516,1530,25.168902994342485,19.64592834251757
2015-08-08,54,4659,1516,1531,24.031026015946143,19.24046089736612
2015-08-15,87,4697,1516,1532,24.470847774660285,19.64665559043014
2015-08-22,77,5093,1516,1533,22.877957210733022,18.54827905672059
2015-08-29,89,5312,1516,1534,22.126867222754,17.22206557272402
2015-09-05,99,6003,1516,1535,23.676898932831136,19.40262963558903
2015-09-12,140,6707,1516,1536,21.42585224950268,16.90348817203042
2015-09-19,178,6948,1516,1537,20.18526822332805,15.161004288980529
2015-09-26,190,7574,1516,1538,19.63016414003708,14.819523541942717
2015-10-03,215,8393,1516,1539,16.808269793118527,13.260766281313392
2015-10-10,325,10093,1516,1540,16.61116846935431,13.095696783407856
2015-10-17,374,10751,1516,1541,14.370645557526954,9.50979829357718
2015-10-24,419,11231,1516,1542,13.87961676778214,10.490584800782084
2015-10-31,473,11259,1516,1543,11.918455215959504,9.915985226066988
2015-11-07,546,11973,1516,1544,12.489680105170905,10.434913085044965
2015-11-14,642,12382,1516,1545,9.061812253397632,7.466675565166052
2015-11-21,736,12832,1516,1546,7.503376359998904,6.896943012866152
2015-11-28,1080,12761,1516,1547,5.182600972837077,6.279333124324811
